epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.4208,0.93259,0.68203,1,0.71229,0.00331301,0.00331301,0.00331301
2,21.9326,0.58925,0.78495,1,0.52482,0.00663318,0.00663318,0.00663318
3,32.0152,0.39049,0.82949,1,0.52016,0.00994016,0.00994016,0.00994016
4,41.9891,0.28993,0.81874,1,0.51235,0.0099406,0.0099406,0.0099406
5,51.9855,0.25551,0.82488,1,0.49252,0.0099208,0.0099208,0.0099208
6,62.052,0.18348,0.84332,1,0.43133,0.009901,0.009901,0.009901
7,72.0319,0.11449,0.83564,1,0.52042,0.0098812,0.0098812,0.0098812
8,81.8788,0.15101,0.84178,1,0.51565,0.0098614,0.0098614,0.0098614
9,91.6098,0.09704,0.85561,1,0.50955,0.0098416,0.0098416,0.0098416
10,101.406,0.08011,0.85407,1,0.56105,0.0098218,0.0098218,0.0098218
11,111.07,0.07537,0.8341,1,0.67924,0.009802,0.009802,0.009802
12,120.715,0.09471,0.86329,1,0.52003,0.0097822,0.0097822,0.0097822
13,130.551,0.09187,0.87097,1,0.50482,0.0097624,0.0097624,0.0097624
14,140.664,0.06337,0.86482,1,0.56191,0.0097426,0.0097426,0.0097426
15,150.439,0.05598,0.86022,1,0.62595,0.0097228,0.0097228,0.0097228
16,160.092,0.05716,0.87404,1,0.53449,0.009703,0.009703,0.009703
17,170.067,0.03571,0.87711,1,0.46759,0.0096832,0.0096832,0.0096832
18,180.084,0.04045,0.87404,1,0.50571,0.0096634,0.0096634,0.0096634
19,189.922,0.03895,0.86636,1,0.60446,0.0096436,0.0096436,0.0096436
20,199.759,0.03115,0.86329,1,0.65363,0.0096238,0.0096238,0.0096238
21,209.606,0.0342,0.85253,1,0.57637,0.009604,0.009604,0.009604
22,219.503,0.0211,0.8725,1,0.58968,0.0095842,0.0095842,0.0095842
23,229.356,0.01877,0.88172,1,0.53764,0.0095644,0.0095644,0.0095644
24,239.462,0.01629,0.88479,1,0.54417,0.0095446,0.0095446,0.0095446
25,249.502,0.04918,0.88633,1,0.43802,0.0095248,0.0095248,0.0095248
26,259.582,0.00965,0.8894,1,0.51611,0.009505,0.009505,0.009505
27,269.68,0.01151,0.87865,1,0.56667,0.0094852,0.0094852,0.0094852
28,279.694,0.0507,0.88018,1,0.52529,0.0094654,0.0094654,0.0094654
29,289.775,0.01936,0.88172,1,0.58337,0.0094456,0.0094456,0.0094456
30,299.907,0.01308,0.88326,1,0.5494,0.0094258,0.0094258,0.0094258
31,310.139,0.01631,0.87558,1,0.64087,0.009406,0.009406,0.009406
32,320.275,0.06588,0.88633,1,0.56646,0.0093862,0.0093862,0.0093862
33,330.402,0.0258,0.88633,1,0.55701,0.0093664,0.0093664,0.0093664
34,340.538,0.01907,0.87711,1,0.63718,0.0093466,0.0093466,0.0093466
35,350.68,0.01799,0.87865,1,0.67304,0.0093268,0.0093268,0.0093268
36,360.834,0.00586,0.8725,1,0.69632,0.009307,0.009307,0.009307
37,370.95,0.01322,0.88018,1,0.63842,0.0092872,0.0092872,0.0092872
38,381.01,0.0186,0.87097,1,0.68489,0.0092674,0.0092674,0.0092674
39,391.043,0.01326,0.87558,1,0.67245,0.0092476,0.0092476,0.0092476
40,401.122,0.0076,0.86636,1,0.61833,0.0092278,0.0092278,0.0092278
41,411.264,0.00463,0.88172,1,0.6053,0.009208,0.009208,0.009208
42,421.356,0.00289,0.88326,1,0.6124,0.0091882,0.0091882,0.0091882
43,431.664,0.01325,0.87865,1,0.67826,0.0091684,0.0091684,0.0091684
44,441.934,0.0198,0.87404,1,0.67582,0.0091486,0.0091486,0.0091486
45,452.197,0.00933,0.87711,1,0.56202,0.0091288,0.0091288,0.0091288
46,462.581,0.0098,0.86636,1,0.63753,0.009109,0.009109,0.009109
47,472.921,0.00446,0.86329,1,0.63687,0.0090892,0.0090892,0.0090892
48,483.294,0.00389,0.86943,1,0.61743,0.0090694,0.0090694,0.0090694
49,493.613,0.02489,0.88018,1,0.62581,0.0090496,0.0090496,0.0090496
50,503.816,0.00561,0.87865,1,0.67571,0.0090298,0.0090298,0.0090298
51,513.995,0.0039,0.87404,1,0.65049,0.00901,0.00901,0.00901
52,524.124,0.00393,0.86482,1,0.67142,0.0089902,0.0089902,0.0089902
53,534.281,0.0109,0.86329,1,0.66393,0.0089704,0.0089704,0.0089704
54,544.433,0.00388,0.8679,1,0.66666,0.0089506,0.0089506,0.0089506
55,554.484,0.00447,0.88326,1,0.65816,0.0089308,0.0089308,0.0089308
56,564.433,0.00831,0.86943,1,0.64173,0.008911,0.008911,0.008911
57,574.369,0.02758,0.8679,1,0.69084,0.0088912,0.0088912,0.0088912
58,584.379,0.00463,0.86482,1,0.74873,0.0088714,0.0088714,0.0088714
59,594.546,0.01151,0.88172,1,0.56653,0.0088516,0.0088516,0.0088516
60,604.727,0.00404,0.86943,1,0.59141,0.0088318,0.0088318,0.0088318
61,614.844,0.00337,0.87711,1,0.60008,0.008812,0.008812,0.008812
62,625.019,0.00331,0.87558,1,0.66179,0.0087922,0.0087922,0.0087922
63,635.206,0.00195,0.86943,1,0.67908,0.0087724,0.0087724,0.0087724
64,645.374,0.00291,0.87711,1,0.69427,0.0087526,0.0087526,0.0087526
65,655.498,0.00253,0.86329,1,0.71157,0.0087328,0.0087328,0.0087328
66,665.663,0.0174,0.851,1,0.71903,0.008713,0.008713,0.008713
67,675.878,0.00292,0.85561,1,0.7281,0.0086932,0.0086932,0.0086932
68,685.7,0.00272,0.86943,1,0.72026,0.0086734,0.0086734,0.0086734
69,695.569,0.00188,0.87865,1,0.70652,0.0086536,0.0086536,0.0086536
70,705.47,0.00063,0.86482,1,0.70046,0.0086338,0.0086338,0.0086338
71,715.351,0.00093,0.86329,1,0.74758,0.008614,0.008614,0.008614
72,725.229,0.0011,0.86175,1,0.84294,0.0085942,0.0085942,0.0085942
73,735.032,0.00028,0.86482,1,0.8067,0.0085744,0.0085744,0.0085744
74,744.875,0.00159,0.86943,1,0.78424,0.0085546,0.0085546,0.0085546
75,754.901,0.00917,0.87097,1,0.73761,0.0085348,0.0085348,0.0085348
76,764.975,0.00386,0.86329,1,0.83253,0.008515,0.008515,0.008515
77,775.004,0.04288,0.87558,1,0.72619,0.0084952,0.0084952,0.0084952
78,784.908,0.00363,0.8725,1,0.73858,0.0084754,0.0084754,0.0084754
79,794.775,0.00295,0.86022,1,0.7469,0.0084556,0.0084556,0.0084556
80,804.598,0.00487,0.86636,1,0.74252,0.0084358,0.0084358,0.0084358
81,814.485,0.00659,0.85714,1,0.77846,0.008416,0.008416,0.008416
